"","ES_score","Gene"
"C1D",11.2734826220595,"C1D"
"HTT",11.5702158400209,"HTT"
"NOL8",13.9040526269327,"NOL8"
"UBL5",53.555484753457,"UBL5"
"OSTC",27.2017271638225,"OSTC"
"APRT",33.6726652793993,"APRT"
"MBD5",10.8475700228448,"MBD5"
"PPP1CB",61.303172930667,"PPP1CB"
"DDX3X",56.836833951051,"DDX3X"
"RNASEK",32.2370220258169,"RNASEK"
"ARPC4",44.2297716874841,"ARPC4"
"MRPL20",24.192817690381,"MRPL20"
"NCOA4",9.44486355828402,"NCOA4"
"PSMB3",39.2637469186664,"PSMB3"
"ANKIB1",11.6941429808543,"ANKIB1"
"UPF1",9.02172643228063,"UPF1"
"PAF1",13.481618048972,"PAF1"
"PAFAH1B1",23.348334620479,"PAFAH1B1"
"SPAG9",26.0049406501808,"SPAG9"
"UQCRC1",25.0930121395622,"UQCRC1"
"PHF20",33.8548405036175,"PHF20"
"SEC63",21.9019854938931,"SEC63"
"UBA6",21.22150307557,"UBA6"
"CUL3",24.3468860554403,"CUL3"
"SZRD1",14.7397595517111,"SZRD1"
"TAB2",15.8231047318692,"TAB2"
"EIF2AK2",13.3221961996999,"EIF2AK2"
"CCAR1",28.5670717507182,"CCAR1"
"WAPL",19.9062574048037,"WAPL"
"TAF2",9.05495888562466,"TAF2"
"IDI1",31.8488906046746,"IDI1"
"ELP1",11.7796181908842,"ELP1"
"CFAP20",12.2421389189709,"CFAP20"
"HSD17B10",17.708933015528,"HSD17B10"
"KIFAP3",7.92851390861691,"KIFAP3"
"REXO2",17.4020556557332,"REXO2"
"PIK3C3",9.96326145884568,"PIK3C3"
"MLLT10",12.9372748558318,"MLLT10"
"NRDC",26.7538219343938,"NRDC"
"CCNT2",11.7364337163517,"CCNT2"
"XPO1",21.6948872886871,"XPO1"
"KAT6A",21.0840560784177,"KAT6A"
"PPIE",14.784088172755,"PPIE"
"NCOA1",15.0531391360885,"NCOA1"
"DIMT1",16.0610892772695,"DIMT1"
"ERP29",26.2851815669419,"ERP29"
"PPP2R3C",15.9706555712345,"PPP2R3C"
"SNAP23",27.4003716777241,"SNAP23"
"LRRFIP2",18.0611653960735,"LRRFIP2"
"RAB18",22.4975703689636,"RAB18"
"CRKL",11.8138071331555,"CRKL"
"DDX17",65.0804538768713,"DDX17"
"TXN2",16.51192643922,"TXN2"
"SOS2",13.8758895994615,"SOS2"
"DICER1",19.1094840748259,"DICER1"
"TRPC4AP",15.625486135634,"TRPC4AP"
"USP10",22.6218479261342,"USP10"
"EIF3E",45.3907309664478,"EIF3E"
"SNRNP70",18.1130617411811,"SNRNP70"
"CLPTM1",14.1006782684701,"CLPTM1"
"PIH1D1",14.2487886870711,"PIH1D1"
"TMEM147",22.3731051604668,"TMEM147"
"RPA3",15.5274818260149,"RPA3"
"CASC3",14.4377900629388,"CASC3"
"MED13",25.2338436459804,"MED13"
"YWHAE",25.4798936846193,"YWHAE"
"DDX6",33.6313893982883,"DDX6"
"METAP2",25.0668947171494,"METAP2"
"COPZ1",22.7098391879088,"COPZ1"
"MRPL18",20.8286539729043,"MRPL18"
"MED23",9.45270283657584,"MED23"
"COX7A2",47.5780626887872,"COX7A2"
"HMGCS1",14.7282285074954,"HMGCS1"
"SUB1",54.0288350396694,"SUB1"
"TIMMDC1",13.7277011685909,"TIMMDC1"
"KPNA1",15.0473741295279,"KPNA1"
"RNF7",21.7439635050051,"RNF7"
"BBX",29.5094148001512,"BBX"
"MRPL3",15.328259576884,"MRPL3"
"USP34",28.8980084189848,"USP34"
"CNPPD1",12.1059717180945,"CNPPD1"
"SRSF7",58.4962197229,"SRSF7"
"CAPZA1",58.732929406616,"CAPZA1"
"IVNS1ABP",29.9712245741855,"IVNS1ABP"
"RBBP5",13.1034263821259,"RBBP5"
"PRPF3",15.0395706532377,"PRPF3"
"RPN2",39.6398717002815,"RPN2"
"TBC1D15",20.665851645868,"TBC1D15"
"NDUFA1",46.5172637434024,"NDUFA1"
"SNRPD2",53.7138889661231,"SNRPD2"
"AGO3",19.7240464305704,"AGO3"
"PCID2",10.2461268644702,"PCID2"
"RBM48",8.37371860622673,"RBM48"
"ATF4",43.2051142401413,"ATF4"
"EMC4",27.9163064850686,"EMC4"
"ATP6V1F",35.7093638821581,"ATP6V1F"
"NEDD8",35.0923294316964,"NEDD8"
"CLIP1",21.6113902737573,"CLIP1"
"ACLY",11.9589841154737,"ACLY"
"RAF1",21.9772190012967,"RAF1"
"KDM6B",35.9032087844877,"KDM6B"
"KIDINS220",15.9656564708172,"KIDINS220"
"ROCK2",13.2897918048065,"ROCK2"
"IL6ST",33.8506805792835,"IL6ST"
"ISCA1",14.2567075987782,"ISCA1"
"SRPK2",21.9109935874307,"SRPK2"
"NMT1",21.5405635629779,"NMT1"
"DERL1",16.9750420676228,"DERL1"
"UBAP2",10.0799274313597,"UBAP2"
"ATRAID",32.4784315375896,"ATRAID"
"CUL4A",17.5695747297286,"CUL4A"
"DCAF5",14.7457704912325,"DCAF5"
"TP53",12.057286643992,"TP53"
"SMAD4",12.1119989863249,"SMAD4"
"TXNL4A",18.2268250883857,"TXNL4A"
"NOSIP",24.3375464076025,"NOSIP"
"SERBP1",43.6859750503679,"SERBP1"
"BCL10",20.6351383592153,"BCL10"
"UFC1",26.8272467694829,"UFC1"
"SNX27",15.0733854718664,"SNX27"
"UBR3",9.41740495225751,"UBR3"
"RPL32",82.9664916155393,"RPL32"
