"","ES_score"
"Spen",34.7269608268083
"Sphk2",23.5345505727527
"Spns1",24.9084619336752
"Spop",61.2665093030559
"Spred2",15.8806922275685
"Srd5a3",24.7670347082266
"Srf",31.4962648789848
"Srp9",62.8389188847398
"Ss18",38.2164195958075
"Ssb",76.94822090778
"Ssbp3",40.5289578073104
"Ssr1",80.3384538004823
"Ssrp1",55.530486514532
"Stam",20.5439080563734
"Stam2",28.6602698048438
"Stat3",64.9820324803646
"Stk11",42.0431202180084
"Strap",58.4503544195498
"Strbp",36.5109900367059
"Strn3",59.7680212642592
"Stub1",55.928814492208
"Stx3",22.8366649938882
"Stx4a",37.4984127746008
"Surf1",33.1010202889048
"Suz12",31.6302615282134
"Synj1",28.5059549310453
"Taf10",59.4335494323675
"Taf8",15.5198653684059
"Tbk1",24.0000894816788
"Tcf12",27.729147564094
"Tcf7l2",49.1071985400956
"Tcof1",33.396260910223
"Terf2",20.4769951883746
"Tfam",29.1880283673599
"Tgfbr1",22.6782159578417
"Thoc1",24.2770441468314
"Thra",26.3605143342385
"Tia1",31.3684345760609
"Tial1",43.0696961339335
"Timm22",26.5242667948407
"Timm50",37.1981471317411
"Tmed10",85.7645296154129
"Tmem63b",21.4964013961149
"Tnks2",51.8175826062264
"Tns1",32.7814295796122
"Top1",70.7325756230152
"Top2b",56.391856911944
"Top3b",23.8199200994766
"Tor1a",35.3307441019932
"Tpm3",86.6700334644921
"Tpp1",53.2439944966487
"Tpst1",30.1192119772444
"Tpst2",35.1600664097421
"Traf2",19.5886321775474
"Trim25",31.5755831453528
"Trim28",53.1888407696273
"Trp53",51.560739054172
"Trp53bp2",24.9864869560262
"Trrap",35.118986308237
"Tsc1",17.3280272157676
"Tsc2",25.9789613909706
"Tsg101",54.0722657899391
"Tsn",65.7440825647719
"Tubg1",21.444946803268
"Twsg1",35.5578954591788
"Txn2",64.9756974084921
"Txnrd1",46.3853382718806
"Uba3",28.1405591878663
"Ube2a",48.4636736090105
"Ube2b",78.537842839551
"Ube2h",60.6981884363291
"Ube2i",76.5871056321522
"Ube2m",54.3434249122729
"Ube4b",31.9334952251625
"Ubp1",36.0670819785373
"Ubr1",27.2685854089101
"Ubr2",46.011372497943
"Ubr5",43.4113201816821
"Uchl5",34.7179455871145
"Unc45a",30.7930262234663
"Upf1",44.9088559562103
"Uqcrb",81.6556281850291
"Urod",35.6133049809637
"Uros",14.1264947411999
"Usf2",26.544338539126
"Usp10",33.0026367766738
"Usp14",40.0826702766809
"Usp16",40.8976123771001
"Usp22",48.8626867004936
"Usp36",26.1883391141776
"Usp39",26.297180084786
"Utrn",46.9250554585541
"Vamp2",39.2815146981802
"Vamp8",65.1385052698951
"Vcp",83.4491485729464
"Vezf1",48.5892386027353
"Vps13d",15.8389766583457
"Vps4a",39.4413498413798
"Vps54",26.1482224641258
"Vti1b",56.212365707509
"Wars",31.9402416709938
"Wasf2",67.4515569333138
"Wasl",40.792730585267
"Wdr12",21.1829284861215
"Wrn",22.5471827078791
"Xab2",31.2515834508477
"Xbp1",65.9950780270534
"Xpc",22.3018831558713
"Xrcc1",24.0585607639
"Xrcc6",28.9583523053677
"Yars",31.5523126355803
"Ybx1",90.2066947294392
"Yipf5",48.2807855333239
"Ywhae",90.814730396362
"Yy1",38.0234341781554
"Zbtb24",15.1675354414296
"Zfp148",43.4991056158456
"Zfp207",71.4474382057569
"Zfp36l2",46.3100221745322
"Zfr",57.4201299065911
"Zfx",26.4139256610063
"Zkscan17",14.668245030792
"Zmiz2",33.0159870340897
"Zmpste24",30.3981721837567
